Year,Constituency_No,Position,Candidate,Party,Votes,Constituency_Name,Vote_Share_Percentage,Margin_Percentage,rural_per
2012,7,3,THAKKAR CHANDULAL TEJARAMBHAI,NCP,30185,VAV,17.17,14.47,94.07161502
2012,7,4,THAKOR BALVANTJI NAGJIJI,IND,4751,VAV,2.7,1.2,94.07161502
2012,7,5,PAREGI BABABHAI JIVABHAI,LJP,2648,VAV,1.51,0.13,94.07161502
2012,7,6,SENGAL KALYANBHAI MADEVBHAI,BSP,2415,VAV,1.37,0.01,94.07161502
2012,7,7,BHUNJAR ASHOKBHAI LAGDHIRBHAI,GPP,2389,VAV,1.36,0,94.07161502
2012,8,1,PARABATBHAI SAVABHAI PATEL,BJP,68517,THARAD,42.35,2.15,91.56698835
2012,8,2,MAVJIBHAI CHATRABHAI PATEL,INC,65044,THARAD,40.2,31.5,91.56698835
2012,8,3,JERADIYA SHATIBHAI BHAGABHAI,IND,14074,THARAD,8.7,4.11,91.56698835
2012,8,4,BRAHMAN BHAGAVANBHAI DHANABHAI,IND,7418,THARAD,4.58,2.09,91.56698835
2012,8,5,JEPAL MAHADEVBHAI VISAJI,BSP,4036,THARAD,2.49,0.82,91.56698835
2012,8,6,TRIVEDI SURESHCHANDRA DAHYALAL,IND,2704,THARAD,1.67,0,91.56698835
2012,9,1,JOITABHAI KASNABHAI PATEL,INC,87460,DHANERA,55.12,19.09,91.46442114
2012,9,2,PUROHIT VASANTBHAI RANCHHODJI,BJP,57169,DHANERA,36.03,32.94,91.46442114
2012,9,3,DABHI RUPABHAI CHENABHAI,BSP,4901,DHANERA,3.09,0.51,91.46442114
2012,9,4,KUCHAVADIYA ZAVERJI CHAMANJI,IND,4094,DHANERA,2.58,0.88,91.46442114
2012,9,5,THAKOR AJITJI SANTIJI,SP,2695,DHANERA,1.7,0.22,91.46442114
2012,9,6,DEVDA DUNGARSINH BHARATSINH,LJP,2345,DHANERA,1.48,0,91.46442114
2012,10,1,KHARADI KANTIBHAI KALABHAI,INC,73751,DANTA,50.64,18.53,95.02985781
2012,10,2,GAMABHAI BHIKHABHAI KHARADI,BJP,46761,DANTA,32.11,23.57,95.02985781
2012,10,3,BUMBADIYA MAHENDRABHAI KESHRABHAI,IND,12432,DANTA,8.54,2.76,95.02985781
2012,10,4,SOLANKI SOMABHAI BHARMABHAI,IND,8419,DANTA,5.78,4.51,95.02985781
2012,10,5,PARMAR GAURANGKUMAR MANILAL,BSP,1852,DANTA,1.27,0.37,95.02985781
2012,10,6,MULI ASHVINNBHAI SAJABHAI,GPP,1319,DANTA,0.91,0.14,95.02985781
2012,10,7,SOLANKI BIPINKUMAR RAJUBHAI,JD(U),1113,DANTA,0.76,0,95.02985781
2012,11,1,MANILAL JETHABHAI VAGHELA,INC,90375,VADGAM,53.48,12.92,92.14773351
2012,11,2,VAGHELA FAKIRBHAI RAGHABHAI,BJP,68536,VADGAM,40.56,37.49,92.14773351
2012,11,3,PARMAR JAYESHKUMAR KHEMCHANDBHAI,IND,5190,VADGAM,3.07,2.08,92.14773351
2012,11,4,VANSOLA GAUTAMBHAI KANJIBHAI,JD(U),1672,VADGAM,0.99,0.31,92.14773351
2012,11,5,SENDHAMA BHIKHABHAI BABUBHAI,BSP,1156,VADGAM,0.68,0.28,92.14773351
2012,11,6,PARMAR GAMANBHAI METHABHAI,SP,687,VADGAM,0.41,0,92.14773351
2012,11,7,CHAUHAN NARENDRAKUMAR MOHANLAL,LJP,686,VADGAM,0.41,0,92.14773351
2012,11,8,GORAIYA NAVINBHAI POPATBHAI,GPP,686,VADGAM,0.41,0,92.14773351
2012,12,1,MAHESHKUMAR AMRUTLAL PATEL,INC,75097,PALANPUR,47.69,3.36,57.66498433
2012,12,2,PRAJAPATI GOVINDBHAI MADHAVLAL,BJP,69813,PALANPUR,44.34,40.99,57.66498433
2012,12,3,SHRIMALI ASHOKBHAI BALCHANDBHAI,IND,5269,PALANPUR,3.35,1.38,57.66498433
2012,12,4,BHUTADIYA VIRSANGBHAI PARATHIBHAI,IND,3092,PALANPUR,1.96,1.48,57.66498433
2012,12,5,VYAS MANUBHAI JAYSHANKAR,GPP,764,PALANPUR,0.49,0.02,57.66498433
2012,12,6,BIHARI NASARULLAKHAN ASADULLAKHAN,BSP,737,PALANPUR,0.47,0.07,57.66498433
2012,12,7,PARMAR CHHAGANCHANDRARAJ DHANABHAI,IND,630,PALANPUR,0.4,0.08,57.66498433
2012,12,8,LOH BHIKHABHAI JEETABHAI,SP,507,PALANPUR,0.32,0.13,57.66498433
2012,12,9,DHUNKH AJMALJI BHATHIJI,IND,301,PALANPUR,0.19,0.01,57.66498433
2012,12,10,GAYAKWAD KHALIDBHAI IBRAHIMBHAI,IND,290,PALANPUR,0.18,0.01,57.66498433
2012,12,11,SHRIMALI PARSOTTAMBHAI RAMJIBHAI,RPI(A),270,PALANPUR,0.17,0,57.66498433
2012,12,12,JUDAL DANSUNGBHAI HEMRAJBHAI,IND,265,PALANPUR,0.17,0.03,57.66498433
2012,12,13,MEVADA CHAMANLAL KHEMCHAND,LJP,223,PALANPUR,0.14,0.02,57.66498433
2012,12,14,CHAUDHARY RAJESHKUMAR VIRSANGBHAI,IND,199,PALANPUR,0.13,0,57.66498433
2012,13,1,VAGHELA LILADHARBHAI KHODAJI,BJP,66294,DEESA,42.56,11.37,68.62731817
2012,13,2,JOSHI RAJENDRAKUMAR DHUDALAL (RAJUBHAI JOSHI),INC,48588,DEESA,31.19,17.61,68.62731817
2012,13,3,MALI MANGALJI MADROOPJI,IND,21148,DEESA,13.58,7.78,68.62731817
2012,13,4,HADIYA BHURABHAI VIHABHAI,IND,9024,DEESA,5.79,4.22,68.62731817
2012,13,5,RANERA AJMALJI NATHUJI (THAKOR),GPP,2454,DEESA,1.58,0.41,68.62731817
2012,13,6,PARMAR ISHWARBHAI RAVJIBHAI,BSP,1811,DEESA,1.16,0.01,68.62731817
2012,13,7,DABHI SHARMISTABEN LALJIBHAI,LJP,1791,DEESA,1.15,0.12,68.62731817
2012,13,8,BHARATIYA GIRISHCHANDRA LAXMICHAN (MODI STATIONARY),IND,1605,DEESA,1.03,0.43,68.62731817
2012,13,9,BHARATJI DHANAJI SOLANKI,IND,939,DEESA,0.6,0.05,68.62731817
2012,13,10,THAKOR RAMANBHAI SARDARJI,IND,856,DEESA,0.55,0.2,68.62731817
2012,13,11,CHHATRALIYA SHANTIBHAI ISHWARBHAI,IND,537,DEESA,0.34,0.08,68.62731817
2012,13,12,SHAH MEENABEN SUBODHBHAI,RPI(A),415,DEESA,0.27,0.06,68.62731817
2012,13,13,ODA DHANRAJBHAI KARSANBHAI,IND,320,DEESA,0.21,0,68.62731817
2012,14,1,CHAUHAN KESHAJI SHIVAJI,BJP,76265,DEODAR,48.95,13.36,93.94193927
2012,14,2,RABARI GOVABHAI HAMIRABHAI,INC,55456,DEODAR,35.6,27.33,93.94193927
2012,14,3,VAGHELA HIRABHAI PREMABHAI,IND,12882,DEODAR,8.27,5.33,93.94193927
2012,14,4,SOLANKI KESHAJI SVARUPJI,IND,4575,DEODAR,2.94,0.24,93.94193927
2012,14,5,BHURIYA VELAJI PATAJI,GPP,4196,DEODAR,2.69,1.99,93.94193927
2012,14,6,DAVE MAHENDRAKUMAR PARESHVARJI,IND,1102,DEODAR,0.71,0.27,93.94193927
2012,14,7,SONECHA ISHVARBHAI VAGHABHAI,LJP,683,DEODAR,0.44,0.04,93.94193927
2012,14,8,RAJAGOR BHARATBHAI KALUBHAI,SP,627,DEODAR,0.4,0,93.94193927
2012,15,1,KHANPURA DHARSHIBHAI LAKHABHAI,INC,73900,KANKREJ,45.18,0.37,94.90626225
2012,15,2,VAGHELA KIRTISINH PRABHATSINH,BJP,73300,KANKREJ,44.81,40.31,94.90626225
2012,15,3,DESAI ISHVARBHAI MAHADEVBHAI,GPP,7371,KANKREJ,4.51,2.17,94.90626225
2012,15,4,KOTARVADIYA MERUJI AMTHAJI,LJP,3825,KANKREJ,2.34,0.4,94.90626225
2012,15,5,MAKWANA VAGHAJIBHAI BECHARBHAI,BSP,3178,KANKREJ,1.94,0.72,94.90626225
2012,15,6,THAKOR KIRATISINH MANSUNGJI,SP,1995,KANKREJ,1.22,0,94.90626225
2012,16,1,THAKOR NAGARJI HARCHANDJI,BJP,69493,RADHANPUR,45.91,2.53,88.72191384
2012,16,2,BHAVSINHJI DAYAJI RATHOD,INC,65659,RADHANPUR,43.38,39.92,88.72191384
2012,16,3,BHARVAD MERABHAI RAJABHAI,IND,5225,RADHANPUR,3.45,1.95,88.72191384
2012,16,4,AYAR RAJESHBHAI LAKHMANBHAI,SP,2277,RADHANPUR,1.5,0.01,88.72191384
2012,16,5,CHAUDHARY MEMABHAI DOSABHAI,GPP,2256,RADHANPUR,1.49,0.06,88.72191384
2012,16,6,PARMAR SURESHBHAI GOVINDBHAI,BSP,2159,RADHANPUR,1.43,0.41,88.72191384
2012,16,7,THAKOR PRADHANJI BABUJI,IND,1542,RADHANPUR,1.02,0.05,88.72191384
2012,16,8,PUJARA JASVANTLAL MUMJIBHAI(JASUBHAI EX.WRITER RADHANPUR),IND,1462,RADHANPUR,0.97,0.49,88.72191384
2012,16,9,GOVINDJI OKHAJI THAKOR,IND,716,RADHANPUR,0.47,0.09,88.72191384
2012,16,10,PARMAR ISHVARBHAI NANJIBHAI,LJP,585,RADHANPUR,0.39,0,88.72191384
2012,17,1,DILIPKUMAR VIRAJIBHAI THAKOR,BJP,83462,CHANASMA,51.89,10.46,89.07965499
2012,17,2,THAKOR DINESHBHAI AATAJI,INC,66638,CHANASMA,41.43,39.69,89.07965499
2012,17,3,CHAUDHARI RAMESHBHAI NATHABHAI,BSP,2794,CHANASMA,1.74,0.22,89.07965499
2012,17,4,PRAJAPATI JITENDRAKUMAR JAYANTIBHAI,IND,2439,CHANASMA,1.52,0.56,89.07965499
2012,17,5,RAMESHBHAI GOVINDBHAI PATEL,IND,1535,CHANASMA,0.95,0.08,89.07965499
2012,17,6,VYAS MARKANDRAY ISHWARLAL,SP,1410,CHANASMA,0.88,0.16,89.07965499
2012,17,7,POPATBHAI MANILAL PATEL,IND,1150,CHANASMA,0.71,0.13,89.07965499
2012,17,8,NADODA NAVINBHAI AAJABHAI,IND,934,CHANASMA,0.58,0.28,89.07965499
2012,17,9,THAKOR KANTIJI POPATJI,IND,487,CHANASMA,0.3,0,89.07965499
2012,18,1,DESAI RANCHHOD MAHIJIBHAI (RANCHHOD RABARI VAKIL),BJP,67224,PATAN,41.08,3.59,63.10517775
2012,18,2,THAKOR JODHAJI GALABJI,INC,61353,PATAN,37.49,27.04,63.10517775
2012,18,3,DESAI KANJIBHAI MOTIBHAI,IND,17110,PATAN,10.46,6.52,63.10517775
2012,18,4,MOHANBHAI HIRABHAI PATEL,GPP,6443,PATAN,3.94,1.6,63.10517775
2012,18,5,MAHESWARI KANUBHAI BHURABHAI (MANDOVARA),IND,3829,PATAN,2.34,1.07,63.10517775
2012,18,6,PARMAR RATNABHAI VIRABHAI,IND,2080,PATAN,1.27,0.09,63.10517775
2012,18,7,PRAJAPATI LILABEN DASHRATHBHAI,IND,1927,PATAN,1.18,0.63,63.10517775
2012,18,8,PARMAR MAGANBHAI AMARABHAI,BSP,902,PATAN,0.55,0.2,63.10517775
2012,18,9,PARMAR NANJIBHAI KANTIBHAI,IND,574,PATAN,0.35,0.03,63.10517775
2012,18,10,KETANKUMAR JAGABHAI PATEL,IND,530,PATAN,0.32,0.07,63.10517775
2012,18,11,THAKOR RANJITBHAI CHAMANJI,IND,408,PATAN,0.25,0.02,63.10517775
2012,18,12,DODIYA RAMESHKUMAR NAGINDAS,IND,381,PATAN,0.23,0.05,63.10517775
2012,18,13,ALPESKUMAR DAYABHAI PATEL,VHS,296,PATAN,0.18,0,63.10517775
2012,18,14,THAKOR LALJI TEJAJI,SP,288,PATAN,0.18,0,63.10517775
2012,18,15,THAKOR REVAJI PRATAPJI,LJP,287,PATAN,0.18,0,63.10517775
2012,19,1,BALVANTSINH CHANDANSINH RAJPUT,INC,87518,SIDHPUR,54.09,15.96,77.34237219
2012,19,2,JAYNARAYAN NARMADA SHANKAR VYAS,BJP,61694,SIDHPUR,38.13,36.53,77.34237219
2012,19,3,DILIPKUMAR LILACHAND PATEL,IND,2586,SIDHPUR,1.6,0.04,77.34237219
2012,19,4,KANTILAL SANKALCHAND PATEL,BSP,2518,SIDHPUR,1.56,0.07,77.34237219
2012,19,5,MAKWANA RANCHHODBHAI HIRABHAI,IND,2406,SIDHPUR,1.49,0.2,77.34237219
2012,19,6,RAMESHBHAI ISVERLAL PATEL,IND,2088,SIDHPUR,1.29,0.43,77.34237219
2012,19,7,THAKOR MAHESHKUMAR GULABJI,SP,1396,SIDHPUR,0.86,0.4,77.34237219
2012,19,8,THAKOR MOHANBHAI NAGAJIBHAI,IND,742,SIDHPUR,0.46,0.17,77.34237219
2012,19,9,THAKOR BALVANTJI HARCHANDJI,IND,469,SIDHPUR,0.29,0.06,77.34237219
2012,19,10,VASHARAMBHAI JOITARAM PATEL,GPP,373,SIDHPUR,0.23,0,77.34237219
2012,20,1,DHABHI BHARATSIGHJI SANKARJI,BJP,68195,KHERALU,53.8,14.51,92.06421868
2012,20,2,THAKOR BABUJI UJAMJI,INC,49809,KHERALU,39.3,35.74,92.06421868
